@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
100,'2019/05/28 21:03:42:801',1,0.992535,0.002281,0.759307,0.429525,0.378994,0.016336,-0.004786,0.125017,0.028264,0.140777,0.263762,0.174282,0.218392,1,0,0,0
101,'2019/05/28 21:03:42:817',1,1.02586,0.166728,0.704393,0.268788,0.115336,0.012158,0.20431,0.202295,0.253058,0.233085,0.184776,0.155916,0.262182,1,0,0,0
102,'2019/05/28 21:03:42:835',1,1.070518,0.189316,0.727537,0.254612,0.180836,-0.003236,0.189511,0.167996,0.267666,0.083298,0.164804,0.165535,0.249243,1,0,0,0
103,'2019/05/28 21:03:42:852',1,1.060424,0.148253,0.695327,0.343681,0.372631,0.056416,0.092109,0.326708,0.181008,0.23634,0.257953,0.052366,0.088507,1,0,0,0
104,'2019/05/28 21:03:42:868',1,0.959868,0.102668,0.722304,0.416633,0.292063,0.085665,0.252963,0.148782,0.185427,0.156737,0.271589,0.160113,0.09955,1,0,0,0
105,'2019/05/28 21:03:42:884',1,0.861131,-0.089716,0.708101,0.38722,0.219858,-0.024055,0.204413,0.318103,0.23959,0.227485,0.281654,0.238098,0.220329,1,0,0,0
106,'2019/05/28 21:03:42:902',1,0.760875,-0.116163,0.784147,0.425052,0.27625,-0.061434,0.213257,0.345922,0.445288,0.238559,0.180153,0.126773,0.254926,1,0,0,0
107,'2019/05/28 21:03:42:918',1,0.965335,0.132637,0.7141,0.191284,0.241883,0.105799,0.103608,0.073274,0.101321,0.245388,0.331783,0.167333,0.225537,1,0,0,0
108,'2019/05/28 21:03:42:935',1,0.821149,-0.089528,0.588573,0.035425,-0.000778,-0.137077,-0.064837,0.162148,0.296449,0.370424,0.340858,0.236539,0.250019,1,0,0,0
109,'2019/05/28 21:03:42:951',1,0.879296,0.057509,0.759481,0.496763,0.304601,0.083182,0.174847,0.165053,0.081379,0.091805,0.204857,0.159014,0.216787,1,0,0,0
110,'2019/05/28 21:03:42:968',1,0.891788,-0.038216,0.490061,0.255035,0.294555,0.135377,0.366753,0.406323,0.398146,0.251768,0.310686,0.090841,0.239086,1,0,0,0
111,'2019/05/28 21:03:42:985',1,0.780359,-0.064913,0.742659,0.45801,0.387189,0.2008,0.149714,0.318761,0.325018,0.188224,0.166692,0.062356,0.229426,1,0,0,0
112,'2019/05/28 21:03:43:002',1,0.886933,-0.12545,0.565071,0.204225,0.139216,0.020748,0.151958,0.179384,0.323377,0.388666,0.376839,0.227795,0.249631,1,0,0,0
113,'2019/05/28 21:03:43:018',1,0.976394,0.168548,0.734983,0.173505,0.224531,0.139849,0.253042,0.239393,0.187384,0.172375,0.189405,0.083379,0.176137,1,0,0,0
114,'2019/05/28 21:03:43:035',1,0.867443,-0.011271,0.398177,0.234868,0.272133,-0.045024,0.189002,0.304857,0.326771,0.382538,0.409741,0.216999,0.175382,1,0,0,0
115,'2019/05/28 21:03:43:051',1,0.964417,0.138623,0.638444,0.333955,0.125421,-0.013758,0.220958,0.241523,0.205636,0.079256,0.115938,0.221911,0.282965,1,0,0,0
116,'2019/05/28 21:03:43:069',1,0.915773,0.160457,0.7107,0.25742,0.239687,0.07142,0.102987,0.283682,0.295552,0.36927,0.357723,0.113661,0.240946,1,0,0,0
117,'2019/05/28 21:03:43:085',1,0.795796,0.22695,0.831469,0.299258,0.127346,0.047734,0.128626,0.256425,0.190614,0.370595,0.621118,0.269908,0.24481,1,0,0,0
118,'2019/05/28 21:03:43:102',1,0.871146,0.054825,0.503779,0.179258,0.1697,0.105225,0.200256,0.140925,0.199583,0.308366,0.276554,0.236633,0.204556,1,0,0,0
119,'2019/05/28 21:03:43:118',1,0.833113,0.071504,0.610011,0.22172,0.307719,0.116811,0.217521,0.210557,0.205011,0.195214,0.213792,0.188074,0.255777,1,0,0,0
120,'2019/05/28 21:03:43:135',1,0.758979,0.002787,0.557617,0.12197,0.137216,0.226807,0.284329,0.261257,0.212667,0.361237,0.545435,0.355241,0.148726,1,0,0,0
121,'2019/05/28 21:03:43:151',1,0.878065,-0.026238,0.534272,0.222947,0.206233,-0.025408,0.042084,0.246287,0.369495,0.358132,0.480282,0.273201,0.247306,1,0,0,0
122,'2019/05/28 21:03:43:168',1,0.980094,0.121744,0.608957,0.19809,0.147041,-0.093495,0.077013,0.266196,0.328827,0.265495,0.275827,0.117243,0.237559,1,0,0,0
123,'2019/05/28 21:03:43:185',1,0.907301,-0.040939,0.635315,0.360125,0.179633,-0.010068,0.130906,0.173337,0.273963,0.271365,0.326574,0.327453,0.218988,1,0,0,0
124,'2019/05/28 21:03:43:201',1,0.800278,0.12577,0.807911,0.457795,0.256281,0.02298,0.075777,0.141779,0.030016,0.095088,0.239628,0.298844,0.300113,1,0,0,0
125,'2019/05/28 21:03:43:218',1,0.88872,-0.091621,0.539051,0.249041,0.254572,0.117788,0.271223,0.338706,0.131877,0.299786,0.303751,0.263674,0.305646,1,0,0,0
126,'2019/05/28 21:03:43:235',1,0.968834,-0.06235,0.590698,0.180734,0.176277,0.122699,0.181631,0.077487,0.265058,0.322115,0.292479,0.193749,0.015619,1,0,0,0
127,'2019/05/28 21:03:43:251',1,0.897145,-0.008926,0.607333,0.193539,0.171664,0.116567,0.109523,0.397081,0.288426,0.186568,0.243603,0.265546,0.101446,1,0,0,0
128,'2019/05/28 21:03:43:268',1,0.985716,0.248908,0.79714,0.323969,0.208145,0.03876,0.065267,0.114753,0.209831,0.24722,0.363674,0.14396,0.134275,1,0,0,0
129,'2019/05/28 21:03:43:285',1,1.0218,0.214922,0.617901,0.18782,0.268003,0.035458,0.110299,0.191308,0.196678,0.325087,0.242345,0.067686,0.226436,1,0,0,0
